,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
217,0.1621437,0.007110096,4.2673373,0.029276554,-0.0677979,0.014814085,0.12260107,-0.2,4.5,0.0,0.12
218,0.17255263,0.008993984,4.2920985,0.034263138,-0.04329439,0.018640814,0.17797121,-0.2,4.5,0.0,0.17
219,0.16931549,0.0060654525,4.279765,0.024483876,0.043620717,0.012876312,0.07734309,-0.2,4.5,0.1,0.07
220,0.17110756,0.0072221304,4.2719393,0.028761446,0.051387172,0.01489061,0.1257781,-0.2,4.5,0.1,0.12
221,0.17558333,0.008340015,4.322815,0.03236109,0.048031688,0.017646585,0.17290092,-0.2,4.5,0.1,0.17
222,0.18117304,0.0061773974,4.283243,0.02424878,0.16674429,0.012891167,0.07444354,-0.2,4.5,0.2,0.07
223,0.17708899,0.007199589,4.2590284,0.028037902,0.15430328,0.014991429,0.12120998,-0.2,4.5,0.2,0.12
224,0.1616045,0.008412583,4.311619,0.03391999,0.14021991,0.017814852,0.17942016,-0.2,4.5,0.2,0.17
225,0.12712447,0.0062953876,4.2990756,0.023929859,-0.037339732,0.013270504,0.08370602,-0.15,4.5,0.0,0.07
226,0.11979531,0.0073727393,4.276572,0.028842045,-0.054563466,0.01530451,0.13009217,-0.15,4.5,0.0,0.12
227,0.13195041,0.009008839,4.299361,0.0336516,-0.038635075,0.018530728,0.17820312,-0.15,4.5,0.0,0.17
228,0.13959706,0.0063523706,4.3255606,0.024226151,0.083853886,0.013169662,0.0802652,-0.15,4.5,0.1,0.07
229,0.12709622,0.007359446,4.274333,0.02844145,0.06467498,0.015405803,0.13360886,-0.15,4.5,0.1,0.12
230,0.13585536,0.008565911,4.232203,0.03414873,0.08992717,0.017926585,0.18027751,-0.15,4.5,0.1,0.17
231,0.1267629,0.006045172,4.29305,0.025599973,0.15287167,0.012584701,0.08021988,-0.15,4.5,0.2,0.07
232,0.11631798,0.0074807825,4.324317,0.02807584,0.15194829,0.015330326,0.13262114,-0.15,4.5,0.2,0.12
233,0.13141532,0.008685101,4.2761784,0.033956338,0.1884101,0.017965822,0.17891784,-0.15,4.5,0.2,0.17
234,0.086680554,0.005789117,4.323736,0.023626637,-0.02591033,0.012500513,0.07313742,-0.1,4.5,0.0,0.07
235,0.08311609,0.006773115,4.2375727,0.028695904,-0.01303929,0.014330588,0.13177896,-0.1,4.5,0.0,0.12
236,0.10718043,0.008357806,4.293992,0.034463212,0.0019786432,0.017689118,0.17169547,-0.1,4.5,0.0,0.17
237,0.07754005,0.0061686975,4.2859898,0.023621354,0.06404639,0.0127676185,0.08137882,-0.1,4.5,0.1,0.07
238,0.085617736,0.007031949,4.3336296,0.026382985,0.08831964,0.014834238,0.12009062,-0.1,4.5,0.1,0.12
