,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
79,0.105095804,0.006107205,4.4902854,0.025202857,0.18970644,0.013183148,0.12138579,-0.1,4.5,0.2,0.12
80,0.08899629,0.008599115,4.5063896,0.0378365,0.1753959,0.017512523,0.1749476,-0.1,4.5,0.2,0.17
0,0.20229317,0.004494525,2.4990966,0.01749221,0.0048705963,0.00906688,0.07230402,-0.2,2.5,0.0,0.07
1,0.19328035,0.006472035,2.5129821,0.027063875,-0.011028489,0.0135870725,0.12522466,-0.2,2.5,0.0,0.12
2,0.202659,0.009056049,2.518056,0.03714191,0.0004152367,0.019082218,0.17705858,-0.2,2.5,0.0,0.17
3,0.20696358,0.003899996,2.4872828,0.016146624,0.105213694,0.008450182,0.07024142,-0.2,2.5,0.1,0.07
4,0.19531833,0.0065456433,2.4709291,0.027919719,0.08071606,0.013819748,0.12374783,-0.2,2.5,0.1,0.12
5,0.2045141,0.008742279,2.5134397,0.03471677,0.10388038,0.01789015,0.17258187,-0.2,2.5,0.1,0.17
6,0.20387301,0.0042535574,2.5051057,0.015376526,0.21171938,0.009015655,0.07024113,-0.2,2.5,0.2,0.07
7,0.19437598,0.0076387483,2.5252354,0.028046021,0.1960475,0.015411512,0.12522621,-0.2,2.5,0.2,0.12
8,0.19431569,0.008919444,2.5170658,0.030286796,0.1847451,0.018835437,0.1661406,-0.2,2.5,0.2,0.17
9,0.14782849,0.004107041,2.535309,0.016174918,-0.0064821965,0.008349459,0.0681526,-0.15,2.5,0.0,0.07
10,0.15754071,0.00574564,2.5308065,0.026957372,0.0076325303,0.011981883,0.12128417,-0.15,2.5,0.0,0.12
11,0.13888286,0.0090087205,2.54497,0.040224455,-0.009385669,0.019401275,0.16753942,-0.15,2.5,0.0,0.17
12,0.14654727,0.0036953732,2.4890368,0.016715305,0.094599,0.0078767715,0.06552015,-0.15,2.5,0.1,0.07
13,0.14952883,0.0061182356,2.513454,0.025961367,0.09365425,0.012629295,0.121797666,-0.15,2.5,0.1,0.12
14,0.15492406,0.008917558,2.5102615,0.034859844,0.11935624,0.018322457,0.17066853,-0.15,2.5,0.1,0.17
15,0.1505729,0.0041613546,2.4871547,0.016512401,0.20677383,0.00861636,0.07229215,-0.15,2.5,0.2,0.07
16,0.14911121,0.00630934,2.538961,0.024388127,0.19591886,0.013530183,0.117890984,-0.15,2.5,0.2,0.12
17,0.16308989,0.008575173,2.4487367,0.034083046,0.2090019,0.018039068,0.17498107,-0.15,2.5,0.2,0.17
18,0.10254109,0.0037755258,2.4791002,0.015331242,-0.004202682,0.008057407,0.061845742,-0.1,2.5,0.0,0.07
19,0.098426454,0.005508877,2.4782012,0.025434623,-0.009752427,0.01148383,0.11394234,-0.1,2.5,0.0,0.12
20,0.092275545,0.00907217,2.509117,0.033204123,-0.011738136,0.01822639,0.1687832,-0.1,2.5,0.0,0.17
21,0.10108075,0.0037325968,2.4957135,0.017075203,0.10366092,0.007581253,0.06550102,-0.1,2.5,0.1,0.07
22,0.084984206,0.0064867614,2.4745133,0.02569931,0.0723571,0.0137226675,0.12518927,-0.1,2.5,0.1,0.12
23,0.10372992,0.009067251,2.4956577,0.035156522,0.10881691,0.018826686,0.1748205,-0.1,2.5,0.1,0.17
24,0.10454466,0.0040866043,2.5275643,0.016874291,0.20424472,0.008505426,0.06758588,-0.1,2.5,0.2,0.07
25,0.10233087,0.0063243206,2.5127213,0.023089776,0.1892976,0.01374446,0.11526888,-0.1,2.5,0.2,0.12
